Sample,Microtiter,MPN,MPN adjusted,CFU 
C2,B1,8.234144028,8.188628085,7.801006092
C2,B2,8.891931434,8.807363142,8.3420769
C2,B5,8.234144028,8.188628085,7.803614538
C2,B6,7.808949723,7.734775852,7.782242038
C3,C1,8.357219822,8.319493696,7.821876807
C3,C2,8.764361298,8.696443792,8.019058645
C3,C3,7.945499555,7.856327322,7.484465322
C3,C4,8.433439309,8.394118331,7.576290619
C3,C5,8.019858315,7.930569149,7.959097229
C3,C6,8.482119507,8.440558833,7.853535311
rfp-Rs5,D1,9.073130254,8.993266534,9.02962657
rfp-Rs5,D2,9.409599229,9.369802763,8.588215042
rfp-Rs5,D3,9.808949723,9.734775852,9.009967284
rfp-Rs5,D4,9.482119507,9.440558833,8.780290123
rfp-Rs5,D5,9.429057563,9.390031338,9.042270622
rfp-Rs5,D6,9.357219822,9.319493696,9.097594739
C4,A1,8.994363682,8.90490218,8.36888313
C4,A2,8.994363682,8.90490218,8.647974031
C4,A4,8.753814339,8.687513635,8.728693964
C4,A5,9.200307586,9.149511674,8.716014025
C4,A6,9.274233297,9.232303314,8.766436584
C5,B1,8.887947749,8.803613017,8.067853134
C5,B2,8.232200873,8.186684929,7.749772298
C5,B3,8.407656074,8.367859607,7.547630699
C5,B4,8.551881354,8.505825661,7.491542059
C5,B5,8.762418142,8.694500637,7.939739085
C5,B6,8.551881354,8.505825661,7.824875392
rfp-Rs5,D1,9.618210165,9.566757747,9.021896928
rfp-Rs5,D2,9.807006568,9.732832697,8.221430081
rfp-Rs5,D3,9.386052765,9.348163783,8.706671117
rfp-Rs5,D4,9.01791516,8.928625994,8.912951174
rfp-Rs5,D5,9.142291963,9.077338101,8.936108429
rfp-Rs5,D6,9.407656074,9.367859607,8.750925809
