community,soil_well_location,plate_unique,plate_id,plate_well,rfu
C4,A1,plate_0,RFP_1_plate_1,A1,37.33
,,plate_0,RFP_1_plate_1,A2,43.73
,,plate_0,RFP_1_plate_1,A3,8.943
,,plate_0,RFP_1_plate_1,A4,483.162
,,plate_0,RFP_1_plate_1,A5,272.522
,,plate_0,RFP_1_plate_1,A6,203.421
,,plate_0,RFP_1_plate_1,A7,273.183
,,plate_0,RFP_1_plate_1,A8,328.634
,,plate_0,RFP_1_plate_1,A9,3.163
,,plate_0,RFP_1_plate_1,A10,3.052
,,plate_0,RFP_1_plate_1,A11,3.496
,,plate_0,RFP_1_plate_1,A12,3.6
,,plate_0,RFP_1_plate_1,B1,35.468
,,plate_0,RFP_1_plate_1,B2,40.634
,,plate_0,RFP_1_plate_1,B3,7.65
,,plate_0,RFP_1_plate_1,B4,468.54
,,plate_0,RFP_1_plate_1,B5,251.642
,,plate_0,RFP_1_plate_1,B6,166.155
,,plate_0,RFP_1_plate_1,B7,169.531
,,plate_0,RFP_1_plate_1,B8,82.535
,,plate_0,RFP_1_plate_1,B9,146.951
,,plate_0,RFP_1_plate_1,B10,4.023
,,plate_0,RFP_1_plate_1,B11,2.996
,,plate_0,RFP_1_plate_1,B12,3.833
,,plate_0,RFP_1_plate_1,C1,32.387
,,plate_0,RFP_1_plate_1,C2,40.272
,,plate_0,RFP_1_plate_1,C3,11.028
,,plate_0,RFP_1_plate_1,C4,415.989
,,plate_0,RFP_1_plate_1,C5,208.865
,,plate_0,RFP_1_plate_1,C6,172.33
,,plate_0,RFP_1_plate_1,C7,194.742
,,plate_0,RFP_1_plate_1,C8,228.048
,,plate_0,RFP_1_plate_1,C9,3.272
,,plate_0,RFP_1_plate_1,C10,3.386
,,plate_0,RFP_1_plate_1,C11,2.992
,,plate_0,RFP_1_plate_1,C12,3.511
,,plate_0,RFP_1_plate_1,D1,37.572
,,plate_0,RFP_1_plate_1,D2,40.802
,,plate_0,RFP_1_plate_1,D3,8.62
,,plate_0,RFP_1_plate_1,D4,389.801
,,plate_0,RFP_1_plate_1,D5,205.838
,,plate_0,RFP_1_plate_1,D6,177.33
,,plate_0,RFP_1_plate_1,D7,145.002
,,plate_0,RFP_1_plate_1,D8,39.434
,,plate_0,RFP_1_plate_1,D9,160.59
,,plate_0,RFP_1_plate_1,D10,3.434
,,plate_0,RFP_1_plate_1,D11,3.259
,,plate_0,RFP_1_plate_1,D12,3.663
,,plate_0,RFP_1_plate_1,E1,39.337
,,plate_0,RFP_1_plate_1,E2,44.712
,,plate_0,RFP_1_plate_1,E3,7.745
,,plate_0,RFP_1_plate_1,E4,411.73
,,plate_0,RFP_1_plate_1,E5,206.521
,,plate_0,RFP_1_plate_1,E6,145.087
,,plate_0,RFP_1_plate_1,E7,184.054
,,plate_0,RFP_1_plate_1,E8,139.315
,,plate_0,RFP_1_plate_1,E9,3.504
,,plate_0,RFP_1_plate_1,E10,3.631
,,plate_0,RFP_1_plate_1,E11,3.113
,,plate_0,RFP_1_plate_1,E12,3.43
,,plate_0,RFP_1_plate_1,F1,35.666
,,plate_0,RFP_1_plate_1,F2,43.261
,,plate_0,RFP_1_plate_1,F3,8.055
,,plate_0,RFP_1_plate_1,F4,402.86
,,plate_0,RFP_1_plate_1,F5,175.09
,,plate_0,RFP_1_plate_1,F6,142.343
,,plate_0,RFP_1_plate_1,F7,176.894
,,plate_0,RFP_1_plate_1,F8,97.681
,,plate_0,RFP_1_plate_1,F9,3.447
,,plate_0,RFP_1_plate_1,F10,3.167
,,plate_0,RFP_1_plate_1,F11,3.639
,,plate_0,RFP_1_plate_1,F12,3.628
,,plate_0,RFP_1_plate_1,G1,33.808
,,plate_0,RFP_1_plate_1,G2,52.701
,,plate_0,RFP_1_plate_1,G3,8.248
,,plate_0,RFP_1_plate_1,G4,373.239
,,plate_0,RFP_1_plate_1,G5,188.107
,,plate_0,RFP_1_plate_1,G6,132.292
,,plate_0,RFP_1_plate_1,G7,199.416
,,plate_0,RFP_1_plate_1,G8,275.341
,,plate_0,RFP_1_plate_1,G9,3.262
,,plate_0,RFP_1_plate_1,G10,9.112
,,plate_0,RFP_1_plate_1,G11,3.691
,,plate_0,RFP_1_plate_1,G12,3.786
,,plate_0,RFP_1_plate_1,H1,24.766
,,plate_0,RFP_1_plate_1,H2,63.975
,,plate_0,RFP_1_plate_1,H3,9.81
,,plate_0,RFP_1_plate_1,H4,368.504
,,plate_0,RFP_1_plate_1,H5,180.556
,,plate_0,RFP_1_plate_1,H6,143.044
,,plate_0,RFP_1_plate_1,H7,359.896
,,plate_0,RFP_1_plate_1,H8,485.934
,,plate_0,RFP_1_plate_1,H9,3.268
,,plate_0,RFP_1_plate_1,H10,3.348
,,plate_0,RFP_1_plate_1,H11,3.111
,,plate_0,RFP_1_plate_1,H12,3.464
C4,A2,plate_1,RFP_2_plate_1_shaking,A1,34.258
,,plate_1,RFP_2_plate_1_shaking,A2,55.241
,,plate_1,RFP_2_plate_1_shaking,A3,8.078
,,plate_1,RFP_2_plate_1_shaking,A4,307.781
,,plate_1,RFP_2_plate_1_shaking,A5,206.257
,,plate_1,RFP_2_plate_1_shaking,A6,411.149
,,plate_1,RFP_2_plate_1_shaking,A7,357.07
,,plate_1,RFP_2_plate_1_shaking,A8,149.928
,,plate_1,RFP_2_plate_1_shaking,A9,3.973
,,plate_1,RFP_2_plate_1_shaking,A10,2.847
,,plate_1,RFP_2_plate_1_shaking,A11,3.035
,,plate_1,RFP_2_plate_1_shaking,A12,4.087
,,plate_1,RFP_2_plate_1_shaking,B1,39.789
,,plate_1,RFP_2_plate_1_shaking,B2,48.792
,,plate_1,RFP_2_plate_1_shaking,B3,7.989
,,plate_1,RFP_2_plate_1_shaking,B4,191.978
,,plate_1,RFP_2_plate_1_shaking,B5,217.135
,,plate_1,RFP_2_plate_1_shaking,B6,180.463
,,plate_1,RFP_2_plate_1_shaking,B7,206.961
,,plate_1,RFP_2_plate_1_shaking,B8,375.255
,,plate_1,RFP_2_plate_1_shaking,B9,143.659
,,plate_1,RFP_2_plate_1_shaking,B10,3.309
,,plate_1,RFP_2_plate_1_shaking,B11,3.26
,,plate_1,RFP_2_plate_1_shaking,B12,4.56
,,plate_1,RFP_2_plate_1_shaking,C1,38.072
,,plate_1,RFP_2_plate_1_shaking,C2,48.207
,,plate_1,RFP_2_plate_1_shaking,C3,8.844
,,plate_1,RFP_2_plate_1_shaking,C4,262.46
,,plate_1,RFP_2_plate_1_shaking,C5,202.739
,,plate_1,RFP_2_plate_1_shaking,C6,330.103
,,plate_1,RFP_2_plate_1_shaking,C7,198.186
,,plate_1,RFP_2_plate_1_shaking,C8,293.582
,,plate_1,RFP_2_plate_1_shaking,C9,3.402
,,plate_1,RFP_2_plate_1_shaking,C10,3.241
,,plate_1,RFP_2_plate_1_shaking,C11,3.295
,,plate_1,RFP_2_plate_1_shaking,C12,5.119
,,plate_1,RFP_2_plate_1_shaking,D1,41.962
,,plate_1,RFP_2_plate_1_shaking,D2,50.45
,,plate_1,RFP_2_plate_1_shaking,D3,21.606
,,plate_1,RFP_2_plate_1_shaking,D4,6.754
,,plate_1,RFP_2_plate_1_shaking,D5,313.332
,,plate_1,RFP_2_plate_1_shaking,D6,229.644
,,plate_1,RFP_2_plate_1_shaking,D7,244.509
,,plate_1,RFP_2_plate_1_shaking,D8,294.342
,,plate_1,RFP_2_plate_1_shaking,D9,4.092
,,plate_1,RFP_2_plate_1_shaking,D10,221.714
,,plate_1,RFP_2_plate_1_shaking,D11,3.308
,,plate_1,RFP_2_plate_1_shaking,D12,4.971
,,plate_1,RFP_2_plate_1_shaking,E1,41.72
,,plate_1,RFP_2_plate_1_shaking,E2,50.791
,,plate_1,RFP_2_plate_1_shaking,E3,12.51
,,plate_1,RFP_2_plate_1_shaking,E4,6.65
,,plate_1,RFP_2_plate_1_shaking,E5,223.626
,,plate_1,RFP_2_plate_1_shaking,E6,218.991
,,plate_1,RFP_2_plate_1_shaking,E7,223.544
,,plate_1,RFP_2_plate_1_shaking,E8,380.732
,,plate_1,RFP_2_plate_1_shaking,E9,3.54
,,plate_1,RFP_2_plate_1_shaking,E10,3.402
,,plate_1,RFP_2_plate_1_shaking,E11,3.507
,,plate_1,RFP_2_plate_1_shaking,E12,4.792
,,plate_1,RFP_2_plate_1_shaking,F1,40.332
,,plate_1,RFP_2_plate_1_shaking,F2,55.586
,,plate_1,RFP_2_plate_1_shaking,F3,14.675
,,plate_1,RFP_2_plate_1_shaking,F4,10.184
,,plate_1,RFP_2_plate_1_shaking,F5,182.477
,,plate_1,RFP_2_plate_1_shaking,F6,227.73
,,plate_1,RFP_2_plate_1_shaking,F7,235.024
,,plate_1,RFP_2_plate_1_shaking,F8,384.631
,,plate_1,RFP_2_plate_1_shaking,F9,4.221
,,plate_1,RFP_2_plate_1_shaking,F10,3.283
,,plate_1,RFP_2_plate_1_shaking,F11,3.547
,,plate_1,RFP_2_plate_1_shaking,F12,4.193
,,plate_1,RFP_2_plate_1_shaking,G1,38.022
,,plate_1,RFP_2_plate_1_shaking,G2,66.391
,,plate_1,RFP_2_plate_1_shaking,G3,22.075
,,plate_1,RFP_2_plate_1_shaking,G4,6.88
,,plate_1,RFP_2_plate_1_shaking,G5,344.829
,,plate_1,RFP_2_plate_1_shaking,G6,275.383
,,plate_1,RFP_2_plate_1_shaking,G7,274.757
,,plate_1,RFP_2_plate_1_shaking,G8,155.212
,,plate_1,RFP_2_plate_1_shaking,G9,3.523
,,plate_1,RFP_2_plate_1_shaking,G10,3.197
,,plate_1,RFP_2_plate_1_shaking,G11,3.462
,,plate_1,RFP_2_plate_1_shaking,G12,4.681
,,plate_1,RFP_2_plate_1_shaking,H1,37.808
,,plate_1,RFP_2_plate_1_shaking,H2,62.856
,,plate_1,RFP_2_plate_1_shaking,H3,7.834
,,plate_1,RFP_2_plate_1_shaking,H4,351.266
,,plate_1,RFP_2_plate_1_shaking,H5,264.246
,,plate_1,RFP_2_plate_1_shaking,H6,310.611
,,plate_1,RFP_2_plate_1_shaking,H7,338.617
,,plate_1,RFP_2_plate_1_shaking,H8,572.893
,,plate_1,RFP_2_plate_1_shaking,H9,165.194
,,plate_1,RFP_2_plate_1_shaking,H10,3.184
,,plate_1,RFP_2_plate_1_shaking,H11,3.788
,,plate_1,RFP_2_plate_1_shaking,H12,4.264
C4,A3,plate_2,RFP_3_plate_1,A1,36.226
,,plate_2,RFP_3_plate_1,A2,46.154
,,plate_2,RFP_3_plate_1,A3,10.851
,,plate_2,RFP_3_plate_1,A4,354.013
,,plate_2,RFP_3_plate_1,A5,282.681
,,plate_2,RFP_3_plate_1,A6,353.778
,,plate_2,RFP_3_plate_1,A7,405.425
,,plate_2,RFP_3_plate_1,A8,581.661
,,plate_2,RFP_3_plate_1,A9,3.37
,,plate_2,RFP_3_plate_1,A10,4.353
,,plate_2,RFP_3_plate_1,A11,310.182
,,plate_2,RFP_3_plate_1,A12,3.962
,,plate_2,RFP_3_plate_1,B1,35.81
,,plate_2,RFP_3_plate_1,B2,43.972
,,plate_2,RFP_3_plate_1,B3,9.822
,,plate_2,RFP_3_plate_1,B4,299.305
,,plate_2,RFP_3_plate_1,B5,197.226
,,plate_2,RFP_3_plate_1,B6,274.159
,,plate_2,RFP_3_plate_1,B7,308.574
,,plate_2,RFP_3_plate_1,B8,383.475
,,plate_2,RFP_3_plate_1,B9,3.256
,,plate_2,RFP_3_plate_1,B10,3.303
,,plate_2,RFP_3_plate_1,B11,3.311
,,plate_2,RFP_3_plate_1,B12,3.736
,,plate_2,RFP_3_plate_1,C1,36.81
,,plate_2,RFP_3_plate_1,C2,50.878
,,plate_2,RFP_3_plate_1,C3,7.604
,,plate_2,RFP_3_plate_1,C4,325.865
,,plate_2,RFP_3_plate_1,C5,197.307
,,plate_2,RFP_3_plate_1,C6,253.277
,,plate_2,RFP_3_plate_1,C7,338.203
,,plate_2,RFP_3_plate_1,C8,449.117
,,plate_2,RFP_3_plate_1,C9,3.2
,,plate_2,RFP_3_plate_1,C10,258.447
,,plate_2,RFP_3_plate_1,C11,3.037
,,plate_2,RFP_3_plate_1,C12,3.016
,,plate_2,RFP_3_plate_1,D1,33.556
,,plate_2,RFP_3_plate_1,D2,71.76
,,plate_2,RFP_3_plate_1,D3,9.574
,,plate_2,RFP_3_plate_1,D4,243.903
,,plate_2,RFP_3_plate_1,D5,187.186
,,plate_2,RFP_3_plate_1,D6,281.659
,,plate_2,RFP_3_plate_1,D7,332.85
,,plate_2,RFP_3_plate_1,D8,475.605
,,plate_2,RFP_3_plate_1,D9,3.321
,,plate_2,RFP_3_plate_1,D10,2.933
,,plate_2,RFP_3_plate_1,D11,3.309
,,plate_2,RFP_3_plate_1,D12,3.56
,,plate_2,RFP_3_plate_1,E1,35.251
,,plate_2,RFP_3_plate_1,E2,61.338
,,plate_2,RFP_3_plate_1,E3,8.113
,,plate_2,RFP_3_plate_1,E4,346.207
,,plate_2,RFP_3_plate_1,E5,188.664
,,plate_2,RFP_3_plate_1,E6,268.415
,,plate_2,RFP_3_plate_1,E7,333.908
,,plate_2,RFP_3_plate_1,E8,512.662
,,plate_2,RFP_3_plate_1,E9,222.152
,,plate_2,RFP_3_plate_1,E10,277.232
,,plate_2,RFP_3_plate_1,E11,3.288
,,plate_2,RFP_3_plate_1,E12,3.874
,,plate_2,RFP_3_plate_1,F1,36.102
,,plate_2,RFP_3_plate_1,F2,70.358
,,plate_2,RFP_3_plate_1,F3,8.832
,,plate_2,RFP_3_plate_1,F4,170.177
,,plate_2,RFP_3_plate_1,F5,267.311
,,plate_2,RFP_3_plate_1,F6,293.061
,,plate_2,RFP_3_plate_1,F7,352.298
,,plate_2,RFP_3_plate_1,F8,445.926
,,plate_2,RFP_3_plate_1,F9,4.364
,,plate_2,RFP_3_plate_1,F10,3.423
,,plate_2,RFP_3_plate_1,F11,3.68
,,plate_2,RFP_3_plate_1,F12,4.285
,,plate_2,RFP_3_plate_1,G1,39.902
,,plate_2,RFP_3_plate_1,G2,71.009
,,plate_2,RFP_3_plate_1,G3,75.544
,,plate_2,RFP_3_plate_1,G4,555.548
,,plate_2,RFP_3_plate_1,G5,329.133
,,plate_2,RFP_3_plate_1,G6,351.032
,,plate_2,RFP_3_plate_1,G7,352.18
,,plate_2,RFP_3_plate_1,G8,529.673
,,plate_2,RFP_3_plate_1,G9,3.982
,,plate_2,RFP_3_plate_1,G10,3.335
,,plate_2,RFP_3_plate_1,G11,288.983
,,plate_2,RFP_3_plate_1,G12,3.666
,,plate_2,RFP_3_plate_1,H1,28.36
,,plate_2,RFP_3_plate_1,H2,63.587
,,plate_2,RFP_3_plate_1,H3,17.001
,,plate_2,RFP_3_plate_1,H4,19.92
,,plate_2,RFP_3_plate_1,H5,562.687
,,plate_2,RFP_3_plate_1,H6,621.492
,,plate_2,RFP_3_plate_1,H7,398.738
,,plate_2,RFP_3_plate_1,H8,422.732
,,plate_2,RFP_3_plate_1,H9,3.142
,,plate_2,RFP_3_plate_1,H10,3.287
,,plate_2,RFP_3_plate_1,H11,4.658
,,plate_2,RFP_3_plate_1,H12,3.416
C5,B1,plate_3,RFP_1_plate_1_shaking,A1,27.821
,,plate_3,RFP_1_plate_1_shaking,A2,16.771
,,plate_3,RFP_1_plate_1_shaking,A3,9.481
,,plate_3,RFP_1_plate_1_shaking,A4,335.977
,,plate_3,RFP_1_plate_1_shaking,A5,227.273
,,plate_3,RFP_1_plate_1_shaking,A6,221.389
,,plate_3,RFP_1_plate_1_shaking,A7,282.393
,,plate_3,RFP_1_plate_1_shaking,A8,211.545
,,plate_3,RFP_1_plate_1_shaking,A9,143.212
,,plate_3,RFP_1_plate_1_shaking,A10,3.996
,,plate_3,RFP_1_plate_1_shaking,A11,3.315
,,plate_3,RFP_1_plate_1_shaking,A12,4.263
,,plate_3,RFP_1_plate_1_shaking,B1,27.52
,,plate_3,RFP_1_plate_1_shaking,B2,15.951
,,plate_3,RFP_1_plate_1_shaking,B3,9.448
,,plate_3,RFP_1_plate_1_shaking,B4,288.825
,,plate_3,RFP_1_plate_1_shaking,B5,187.454
,,plate_3,RFP_1_plate_1_shaking,B6,87.853
