Trial,Concentration,soil_well,plate_unique,plate_id,plate_well,rfu
Bio_1,undiluted,A1,plate_0,RFP_1_plate_1_shaking,A1,22.163
,,,plate_0,RFP_1_plate_1_shaking,A2,517.508
,,,plate_0,RFP_1_plate_1_shaking,A3,532.51
,,,plate_0,RFP_1_plate_1_shaking,A4,397.897
,,,plate_0,RFP_1_plate_1_shaking,A5,425.865
,,,plate_0,RFP_1_plate_1_shaking,A6,596.256
,,,plate_0,RFP_1_plate_1_shaking,A7,601.964
,,,plate_0,RFP_1_plate_1_shaking,A8,531.865
,,,plate_0,RFP_1_plate_1_shaking,A9,175.547
,,,plate_0,RFP_1_plate_1_shaking,A10,4.63
,,,plate_0,RFP_1_plate_1_shaking,A11,4.151
,,,plate_0,RFP_1_plate_1_shaking,A12,5.097
,,,plate_0,RFP_1_plate_1_shaking,B1,25
,,,plate_0,RFP_1_plate_1_shaking,B2,484.389
,,,plate_0,RFP_1_plate_1_shaking,B3,424.791
,,,plate_0,RFP_1_plate_1_shaking,B4,439.467
,,,plate_0,RFP_1_plate_1_shaking,B5,392.711
,,,plate_0,RFP_1_plate_1_shaking,B6,548.023
,,,plate_0,RFP_1_plate_1_shaking,B7,573.093
,,,plate_0,RFP_1_plate_1_shaking,B8,432.069
,,,plate_0,RFP_1_plate_1_shaking,B9,433.915
,,,plate_0,RFP_1_plate_1_shaking,B10,341.38
,,,plate_0,RFP_1_plate_1_shaking,B11,4.817
,,,plate_0,RFP_1_plate_1_shaking,B12,4.472
,,,plate_0,RFP_1_plate_1_shaking,C1,28.64
,,,plate_0,RFP_1_plate_1_shaking,C2,492.207
,,,plate_0,RFP_1_plate_1_shaking,C3,453.487
,,,plate_0,RFP_1_plate_1_shaking,C4,438.241
,,,plate_0,RFP_1_plate_1_shaking,C5,397.406
,,,plate_0,RFP_1_plate_1_shaking,C6,535.374
,,,plate_0,RFP_1_plate_1_shaking,C7,506.085
,,,plate_0,RFP_1_plate_1_shaking,C8,384.739
,,,plate_0,RFP_1_plate_1_shaking,C9,96.005
,,,plate_0,RFP_1_plate_1_shaking,C10,4.066
,,,plate_0,RFP_1_plate_1_shaking,C11,3.735
,,,plate_0,RFP_1_plate_1_shaking,C12,4.195
,,,plate_0,RFP_1_plate_1_shaking,D1,29.382
,,,plate_0,RFP_1_plate_1_shaking,D2,540.354
,,,plate_0,RFP_1_plate_1_shaking,D3,411.215
,,,plate_0,RFP_1_plate_1_shaking,D4,435.789
,,,plate_0,RFP_1_plate_1_shaking,D5,423.354
,,,plate_0,RFP_1_plate_1_shaking,D6,516.477
,,,plate_0,RFP_1_plate_1_shaking,D7,491.755
,,,plate_0,RFP_1_plate_1_shaking,D8,409.052
,,,plate_0,RFP_1_plate_1_shaking,D9,4.168
,,,plate_0,RFP_1_plate_1_shaking,D10,4.576
,,,plate_0,RFP_1_plate_1_shaking,D11,4.374
,,,plate_0,RFP_1_plate_1_shaking,D12,4.563
,,,plate_0,RFP_1_plate_1_shaking,E1,26.812
,,,plate_0,RFP_1_plate_1_shaking,E2,462.724
,,,plate_0,RFP_1_plate_1_shaking,E3,432.444
,,,plate_0,RFP_1_plate_1_shaking,E4,435.977
,,,plate_0,RFP_1_plate_1_shaking,E5,424.648
,,,plate_0,RFP_1_plate_1_shaking,E6,538.458
,,,plate_0,RFP_1_plate_1_shaking,E7,487.454
,,,plate_0,RFP_1_plate_1_shaking,E8,404.503
,,,plate_0,RFP_1_plate_1_shaking,E9,333.647
,,,plate_0,RFP_1_plate_1_shaking,E10,4.464
,,,plate_0,RFP_1_plate_1_shaking,E11,4.091
,,,plate_0,RFP_1_plate_1_shaking,E12,4.962
,,,plate_0,RFP_1_plate_1_shaking,F1,22.108
,,,plate_0,RFP_1_plate_1_shaking,F2,451.586
,,,plate_0,RFP_1_plate_1_shaking,F3,444.369
,,,plate_0,RFP_1_plate_1_shaking,F4,366.821
,,,plate_0,RFP_1_plate_1_shaking,F5,413.536
,,,plate_0,RFP_1_plate_1_shaking,F6,505.524
,,,plate_0,RFP_1_plate_1_shaking,F7,484.66
,,,plate_0,RFP_1_plate_1_shaking,F8,445.312
,,,plate_0,RFP_1_plate_1_shaking,F9,3.961
,,,plate_0,RFP_1_plate_1_shaking,F10,4.204
,,,plate_0,RFP_1_plate_1_shaking,F11,4.52
,,,plate_0,RFP_1_plate_1_shaking,F12,4.668
,,,plate_0,RFP_1_plate_1_shaking,G1,28.386
,,,plate_0,RFP_1_plate_1_shaking,G2,517.083
,,,plate_0,RFP_1_plate_1_shaking,G3,434.053
,,,plate_0,RFP_1_plate_1_shaking,G4,332.685
,,,plate_0,RFP_1_plate_1_shaking,G5,409.378
,,,plate_0,RFP_1_plate_1_shaking,G6,551.595
,,,plate_0,RFP_1_plate_1_shaking,G7,515.056
,,,plate_0,RFP_1_plate_1_shaking,G8,466.645
,,,plate_0,RFP_1_plate_1_shaking,G9,254.345
,,,plate_0,RFP_1_plate_1_shaking,G10,4.244
,,,plate_0,RFP_1_plate_1_shaking,G11,4.273
,,,plate_0,RFP_1_plate_1_shaking,G12,4.725
,,,plate_0,RFP_1_plate_1_shaking,H1,29.629
,,,plate_0,RFP_1_plate_1_shaking,H2,746.446
,,,plate_0,RFP_1_plate_1_shaking,H3,487.485
,,,plate_0,RFP_1_plate_1_shaking,H4,446.495
,,,plate_0,RFP_1_plate_1_shaking,H5,478.85
,,,plate_0,RFP_1_plate_1_shaking,H6,565.502
,,,plate_0,RFP_1_plate_1_shaking,H7,630.25
,,,plate_0,RFP_1_plate_1_shaking,H8,516.41
,,,plate_0,RFP_1_plate_1_shaking,H9,327.432
,,,plate_0,RFP_1_plate_1_shaking,H10,4.127
,,,plate_0,RFP_1_plate_1_shaking,H11,4.786
,,,plate_0,RFP_1_plate_1_shaking,H12,4.125
Bio_1,undiluted,A2,plate_1,RFP_2_plate_1,A1,16.005
,,,plate_1,RFP_2_plate_1,A2,332.495
,,,plate_1,RFP_2_plate_1,A3,383.518
,,,plate_1,RFP_2_plate_1,A4,360.727
,,,plate_1,RFP_2_plate_1,A5,336.114
,,,plate_1,RFP_2_plate_1,A6,460.449
,,,plate_1,RFP_2_plate_1,A7,519.263
,,,plate_1,RFP_2_plate_1,A8,360.796
,,,plate_1,RFP_2_plate_1,A9,3.587
,,,plate_1,RFP_2_plate_1,A10,3.147
,,,plate_1,RFP_2_plate_1,A11,2.935
,,,plate_1,RFP_2_plate_1,A12,3.174
,,,plate_1,RFP_2_plate_1,B1,17.734
,,,plate_1,RFP_2_plate_1,B2,503.275
,,,plate_1,RFP_2_plate_1,B3,369.22
,,,plate_1,RFP_2_plate_1,B4,276.016
,,,plate_1,RFP_2_plate_1,B5,303.634
,,,plate_1,RFP_2_plate_1,B6,392.318
,,,plate_1,RFP_2_plate_1,B7,435.752
,,,plate_1,RFP_2_plate_1,B8,352.715
,,,plate_1,RFP_2_plate_1,B9,341.628
,,,plate_1,RFP_2_plate_1,B10,249.015
,,,plate_1,RFP_2_plate_1,B11,3.287
,,,plate_1,RFP_2_plate_1,B12,3.029
,,,plate_1,RFP_2_plate_1,C1,19.028
,,,plate_1,RFP_2_plate_1,C2,540.959
,,,plate_1,RFP_2_plate_1,C3,339.591
,,,plate_1,RFP_2_plate_1,C4,299.786
,,,plate_1,RFP_2_plate_1,C5,286.581
,,,plate_1,RFP_2_plate_1,C6,358.638
,,,plate_1,RFP_2_plate_1,C7,373.349
,,,plate_1,RFP_2_plate_1,C8,347.386
,,,plate_1,RFP_2_plate_1,C9,3.469
,,,plate_1,RFP_2_plate_1,C10,3.688
,,,plate_1,RFP_2_plate_1,C11,3.115
,,,plate_1,RFP_2_plate_1,C12,3.127
,,,plate_1,RFP_2_plate_1,D1,18.789
,,,plate_1,RFP_2_plate_1,D2,514.52
,,,plate_1,RFP_2_plate_1,D3,342.058
,,,plate_1,RFP_2_plate_1,D4,291.047
,,,plate_1,RFP_2_plate_1,D5,277.758
,,,plate_1,RFP_2_plate_1,D6,330.879
,,,plate_1,RFP_2_plate_1,D7,361.684
,,,plate_1,RFP_2_plate_1,D8,348.968
,,,plate_1,RFP_2_plate_1,D9,174.585
,,,plate_1,RFP_2_plate_1,D10,3.435
,,,plate_1,RFP_2_plate_1,D11,3.682
,,,plate_1,RFP_2_plate_1,D12,3.706
,,,plate_1,RFP_2_plate_1,E1,17.346
,,,plate_1,RFP_2_plate_1,E2,430.245
,,,plate_1,RFP_2_plate_1,E3,306.04
,,,plate_1,RFP_2_plate_1,E4,290.489
,,,plate_1,RFP_2_plate_1,E5,279.018
,,,plate_1,RFP_2_plate_1,E6,341.054
,,,plate_1,RFP_2_plate_1,E7,372.65
