,plate,sample,mpn,mpn_adj,upper,lower,rarity
0,plate_0,0,135348786.4,122996765.8,298085151.9,61456579.95,1
1,plate_1,1,101520718,93074037.81,232013285.2,44421836.34,0.854822799
2,plate_2,2,62168441,53532326.08,156725034.1,24660483.11,1
3,plate_3,3,11453391.03,10450513.28,26629601.6,4926103.215,1
4,plate_4,4,4422233.759,3598986.302,10727238.46,1823036.887,0.325190236
5,plate_5,5,6216844.1,5353232.608,15672503.41,2466048.311,1
6,plate_6,6,1586969.589,1421572.497,3606815.185,698253.8186,0.726817147
7,plate_7,7,2872662.345,2421646.298,6792344.997,1214924.883,0.858570665
8,plate_8,8,1832564.099,1630889.466,3737351.512,898575.1445,0.069435361
9,plate_9,9,158696.9589,142157.2497,360681.5185,69825.38186,0.726817147
10,plate_10,10,159646.4874,143583.2154,337238.66,75575.5611,0.538787495
11,plate_11,11,621684.41,535323.2608,1567250.341,246604.8311,1
