plate_unique,plate_id,plate_well,rfu
plate_0,RFP_1_plate_1,A1,15.762
plate_0,RFP_1_plate_1,A2,12.59
plate_0,RFP_1_plate_1,A3,4.075
plate_0,RFP_1_plate_1,A4,3.343
plate_0,RFP_1_plate_1,A5,3.136
plate_0,RFP_1_plate_1,A6,3.251
plate_0,RFP_1_plate_1,A7,3.141
plate_0,RFP_1_plate_1,A8,3.4
plate_0,RFP_1_plate_1,A9,2.773
plate_0,RFP_1_plate_1,A10,3.352
plate_0,RFP_1_plate_1,A11,2.701
plate_0,RFP_1_plate_1,A12,3.583
plate_0,RFP_1_plate_1,B1,14.326
plate_0,RFP_1_plate_1,B2,9.552
plate_0,RFP_1_plate_1,B3,3.984
plate_0,RFP_1_plate_1,B4,3.092
plate_0,RFP_1_plate_1,B5,2.745
plate_0,RFP_1_plate_1,B6,2.857
plate_0,RFP_1_plate_1,B7,2.767
plate_0,RFP_1_plate_1,B8,2.883
plate_0,RFP_1_plate_1,B9,3.433
plate_0,RFP_1_plate_1,B10,3.03
plate_0,RFP_1_plate_1,B11,3.066
plate_0,RFP_1_plate_1,B12,3.076
plate_0,RFP_1_plate_1,C1,14.826
plate_0,RFP_1_plate_1,C2,12.238
plate_0,RFP_1_plate_1,C3,3.771
plate_0,RFP_1_plate_1,C4,2.891
plate_0,RFP_1_plate_1,C5,3.063
plate_0,RFP_1_plate_1,C6,3.439
plate_0,RFP_1_plate_1,C7,2.789
plate_0,RFP_1_plate_1,C8,2.825
plate_0,RFP_1_plate_1,C9,3.217
plate_0,RFP_1_plate_1,C10,3.17
plate_0,RFP_1_plate_1,C11,2.298
plate_0,RFP_1_plate_1,C12,3.459
plate_0,RFP_1_plate_1,D1,15.933
plate_0,RFP_1_plate_1,D2,8.876
plate_0,RFP_1_plate_1,D3,3.522
plate_0,RFP_1_plate_1,D4,2.785
plate_0,RFP_1_plate_1,D5,3.052
plate_0,RFP_1_plate_1,D6,3.474
plate_0,RFP_1_plate_1,D7,3.044
plate_0,RFP_1_plate_1,D8,3.021
plate_0,RFP_1_plate_1,D9,3.772
plate_0,RFP_1_plate_1,D10,2.962
plate_0,RFP_1_plate_1,D11,3.057
plate_0,RFP_1_plate_1,D12,3.839
plate_0,RFP_1_plate_1,E1,16.48
plate_0,RFP_1_plate_1,E2,10.153
plate_0,RFP_1_plate_1,E3,4.291
plate_0,RFP_1_plate_1,E4,3.85
plate_0,RFP_1_plate_1,E5,2.63
plate_0,RFP_1_plate_1,E6,3.214
plate_0,RFP_1_plate_1,E7,3.276
plate_0,RFP_1_plate_1,E8,3.163
plate_0,RFP_1_plate_1,E9,3.246
plate_0,RFP_1_plate_1,E10,2.904
plate_0,RFP_1_plate_1,E11,2.84
plate_0,RFP_1_plate_1,E12,2.968
plate_0,RFP_1_plate_1,F1,15.769
plate_0,RFP_1_plate_1,F2,9.756
plate_0,RFP_1_plate_1,F3,3.151
plate_0,RFP_1_plate_1,F4,2.825
plate_0,RFP_1_plate_1,F5,3.242
plate_0,RFP_1_plate_1,F6,2.947
plate_0,RFP_1_plate_1,F7,2.737
plate_0,RFP_1_plate_1,F8,2.865
plate_0,RFP_1_plate_1,F9,3.338
plate_0,RFP_1_plate_1,F10,3.139
plate_0,RFP_1_plate_1,F11,3.213
plate_0,RFP_1_plate_1,F12,3.867
plate_0,RFP_1_plate_1,G1,16.149
plate_0,RFP_1_plate_1,G2,7.95
plate_0,RFP_1_plate_1,G3,3.652
plate_0,RFP_1_plate_1,G4,3.006
plate_0,RFP_1_plate_1,G5,3.174
plate_0,RFP_1_plate_1,G6,3.168
plate_0,RFP_1_plate_1,G7,2.9
plate_0,RFP_1_plate_1,G8,3.337
plate_0,RFP_1_plate_1,G9,2.872
plate_0,RFP_1_plate_1,G10,3.569
plate_0,RFP_1_plate_1,G11,2.688
plate_0,RFP_1_plate_1,G12,3.401
plate_0,RFP_1_plate_1,H1,18.038
plate_0,RFP_1_plate_1,H2,13.065
plate_0,RFP_1_plate_1,H3,4.493
plate_0,RFP_1_plate_1,H4,3.337
plate_0,RFP_1_plate_1,H5,3.174
plate_0,RFP_1_plate_1,H6,3.783
plate_0,RFP_1_plate_1,H7,3.094
plate_0,RFP_1_plate_1,H8,2.792
plate_0,RFP_1_plate_1,H9,3.458
plate_0,RFP_1_plate_1,H10,3.04
plate_0,RFP_1_plate_1,H11,3.184
plate_0,RFP_1_plate_1,H12,3.336
plate_1,RFP_2_plate_1_shaking,A1,16.292
plate_1,RFP_2_plate_1_shaking,A2,8.106
plate_1,RFP_2_plate_1_shaking,A3,3.614
plate_1,RFP_2_plate_1_shaking,A4,3.401
plate_1,RFP_2_plate_1_shaking,A5,3.75
plate_1,RFP_2_plate_1_shaking,A6,3.518
plate_1,RFP_2_plate_1_shaking,A7,3.41
plate_1,RFP_2_plate_1_shaking,A8,3.46
plate_1,RFP_2_plate_1_shaking,A9,3.105
plate_1,RFP_2_plate_1_shaking,A10,3.211
plate_1,RFP_2_plate_1_shaking,A11,3.333
plate_1,RFP_2_plate_1_shaking,A12,3.621
plate_1,RFP_2_plate_1_shaking,B1,12.281
plate_1,RFP_2_plate_1_shaking,B2,6.153
plate_1,RFP_2_plate_1_shaking,B3,3.575
plate_1,RFP_2_plate_1_shaking,B4,2.927
plate_1,RFP_2_plate_1_shaking,B5,2.824
plate_1,RFP_2_plate_1_shaking,B6,2.947
plate_1,RFP_2_plate_1_shaking,B7,3.056
plate_1,RFP_2_plate_1_shaking,B8,3.476
plate_1,RFP_2_plate_1_shaking,B9,3.202
plate_1,RFP_2_plate_1_shaking,B10,3.677
plate_1,RFP_2_plate_1_shaking,B11,2.743
plate_1,RFP_2_plate_1_shaking,B12,4.031
plate_1,RFP_2_plate_1_shaking,C1,13.896
plate_1,RFP_2_plate_1_shaking,C2,5.566
plate_1,RFP_2_plate_1_shaking,C3,3.025
plate_1,RFP_2_plate_1_shaking,C4,3.076
plate_1,RFP_2_plate_1_shaking,C5,3.419
plate_1,RFP_2_plate_1_shaking,C6,3.197
plate_1,RFP_2_plate_1_shaking,C7,2.885
plate_1,RFP_2_plate_1_shaking,C8,2.981
plate_1,RFP_2_plate_1_shaking,C9,3.281
plate_1,RFP_2_plate_1_shaking,C10,3.128
plate_1,RFP_2_plate_1_shaking,C11,2.574
plate_1,RFP_2_plate_1_shaking,C12,3.978
plate_1,RFP_2_plate_1_shaking,D1,14.221
plate_1,RFP_2_plate_1_shaking,D2,9.302
plate_1,RFP_2_plate_1_shaking,D3,3.271
plate_1,RFP_2_plate_1_shaking,D4,2.984
plate_1,RFP_2_plate_1_shaking,D5,3.251
plate_1,RFP_2_plate_1_shaking,D6,3.119
plate_1,RFP_2_plate_1_shaking,D7,3.463
plate_1,RFP_2_plate_1_shaking,D8,3.023
plate_1,RFP_2_plate_1_shaking,D9,3.266
plate_1,RFP_2_plate_1_shaking,D10,3.206
plate_1,RFP_2_plate_1_shaking,D11,3.113
plate_1,RFP_2_plate_1_shaking,D12,3.804
plate_1,RFP_2_plate_1_shaking,E1,15.515
plate_1,RFP_2_plate_1_shaking,E2,7.862
plate_1,RFP_2_plate_1_shaking,E3,3.663
plate_1,RFP_2_plate_1_shaking,E4,2.904
plate_1,RFP_2_plate_1_shaking,E5,3.286
plate_1,RFP_2_plate_1_shaking,E6,3.111
plate_1,RFP_2_plate_1_shaking,E7,3.551
plate_1,RFP_2_plate_1_shaking,E8,3.589
plate_1,RFP_2_plate_1_shaking,E9,3.009
plate_1,RFP_2_plate_1_shaking,E10,2.671
plate_1,RFP_2_plate_1_shaking,E11,2.964
plate_1,RFP_2_plate_1_shaking,E12,4.418
plate_1,RFP_2_plate_1_shaking,F1,18.316
plate_1,RFP_2_plate_1_shaking,F2,8.909
plate_1,RFP_2_plate_1_shaking,F3,3.562
plate_1,RFP_2_plate_1_shaking,F4,3.333
plate_1,RFP_2_plate_1_shaking,F5,2.984
plate_1,RFP_2_plate_1_shaking,F6,3.106
plate_1,RFP_2_plate_1_shaking,F7,3.462
plate_1,RFP_2_plate_1_shaking,F8,3.218
plate_1,RFP_2_plate_1_shaking,F9,2.969
plate_1,RFP_2_plate_1_shaking,F10,2.789
plate_1,RFP_2_plate_1_shaking,F11,2.675
plate_1,RFP_2_plate_1_shaking,F12,4.286
plate_1,RFP_2_plate_1_shaking,G1,18.655
plate_1,RFP_2_plate_1_shaking,G2,7.37
plate_1,RFP_2_plate_1_shaking,G3,2.813
plate_1,RFP_2_plate_1_shaking,G4,2.75
plate_1,RFP_2_plate_1_shaking,G5,3.335
plate_1,RFP_2_plate_1_shaking,G6,3.417
plate_1,RFP_2_plate_1_shaking,G7,2.456
plate_1,RFP_2_plate_1_shaking,G8,2.737
plate_1,RFP_2_plate_1_shaking,G9,3.234
plate_1,RFP_2_plate_1_shaking,G10,3.307
plate_1,RFP_2_plate_1_shaking,G11,3.136
plate_1,RFP_2_plate_1_shaking,G12,4.436
plate_1,RFP_2_plate_1_shaking,H1,16.513
plate_1,RFP_2_plate_1_shaking,H2,6.456
plate_1,RFP_2_plate_1_shaking,H3,3.446
plate_1,RFP_2_plate_1_shaking,H4,3.524
plate_1,RFP_2_plate_1_shaking,H5,2.99
plate_1,RFP_2_plate_1_shaking,H6,3.023
plate_1,RFP_2_plate_1_shaking,H7,2.819
plate_1,RFP_2_plate_1_shaking,H8,3.388
plate_1,RFP_2_plate_1_shaking,H9,2.965
plate_1,RFP_2_plate_1_shaking,H10,3.129
plate_1,RFP_2_plate_1_shaking,H11,3.215
plate_1,RFP_2_plate_1_shaking,H12,4.102
plate_2,RFP_3_plate_1,A1,16.498
plate_2,RFP_3_plate_1,A2,8.607
plate_2,RFP_3_plate_1,A3,3.298
plate_2,RFP_3_plate_1,A4,3.118
plate_2,RFP_3_plate_1,A5,2.88
plate_2,RFP_3_plate_1,A6,3.233
plate_2,RFP_3_plate_1,A7,2.944
plate_2,RFP_3_plate_1,A8,3.068
plate_2,RFP_3_plate_1,A9,3.522
plate_2,RFP_3_plate_1,A10,3.148
plate_2,RFP_3_plate_1,A11,3.114
plate_2,RFP_3_plate_1,A12,3.062
plate_2,RFP_3_plate_1,B1,18.363
plate_2,RFP_3_plate_1,B2,13.093
plate_2,RFP_3_plate_1,B3,3.233
plate_2,RFP_3_plate_1,B4,3.103
plate_2,RFP_3_plate_1,B5,2.981
plate_2,RFP_3_plate_1,B6,3.034
plate_2,RFP_3_plate_1,B7,2.839
plate_2,RFP_3_plate_1,B8,3.242
plate_2,RFP_3_plate_1,B9,2.699
plate_2,RFP_3_plate_1,B10,3.597
plate_2,RFP_3_plate_1,B11,2.638
plate_2,RFP_3_plate_1,B12,3.359
plate_2,RFP_3_plate_1,C1,15.565
plate_2,RFP_3_plate_1,C2,12.089
